Наименование;Производитель ;Цена;Ссылка
АКТОВЕГИН 0,04/МЛ 5МЛ N5 АМП Р-Р Д/ИН;Такеда Фармасьютикалс, ООО ;629;/product/aktovegin-004ml-5ml-n5-amp-r-r-din-5e32758df5a9ae000140e729/
Комплексный набор Поддержка сердца, кровеносной системы и мозга  - со скидкой 20%;NoData;910;/product/617b89b4a674e5fa1ad3a9ef/
КСАРЕЛТО;Байер АГ ;2 923;/product/ksarelto-0015-n28-tabl-pplenoboloch-5e3265aef5a9ae0001406cd2/
АКТОВЕГИН 0,04/МЛ 10МЛ N5 АМП Р-Р Д/ИН;Такеда Фармасьютикалс, ООО ;1 247;/product/aktovegin-004ml-10ml-n5-amp-r-r-din-5e3275a5ca7bdc000193312b/
ЭРИТРОПОЭТИН;Биннофарм, АО ;7 097;/product/eritropoetin-2000meml-1ml-n10-amp-r-r-vv-pk-5e326932ca7bdc000192d50a/
КАРДИОМАГНИЛ;Такеда Фармасьютикалс, ООО ;210;/product/kardiomagnil-015003039-n30-tabl-pplenoboloch-5e326f6c65b5ab0001654c68/
ПЛАВИКС;Санофи Винтроп Индустрия ;2 808;/product/plaviks-0075-n100-tabl-pplenoboloch-5e326f6765b5ab0001654c40/
АКТОВЕГИН 0,04/МЛ 2МЛ N25 АМП Р-Р Д/ИН;Такеда Австрия ГмбХ/ Такеда Фармасьютикалс, ООО ;1 625;/product/aktovegin-004ml-2ml-n25-amp-r-r-din-5e32738eca7bdc000193219e/
НАТРИЯ ХЛОРИД БРАУН;Гематек, ООО ;520;/product/natriya-xlorid-braun-09-100ml-n20-flak-r-r-dinf-5f48ddc165ed500001a93eb5/
ВЕССЕЛ ДУЭ Ф;Каталент Итали С.п.А/Альфасигма С.п.А. ;3 061;/product/vessel-due-f-250le-n60-kaps-5e327a2fca7bdc0001935a01/
СОРБИФЕР ДУРУЛЕС;Эгис Фармацевтический завод ЗАО ;469;/product/sorbifer-durules-n50-tabl-pplenoboloch-5e326b37ca7bdc000192e40e/
АЛЬБУМИН;МИКРОГЕН НПО АО (г.Нижний Новгород) ;1 997;/product/albumin-10-100ml-flak-r-r-dinf-5e326a8df5a9ae000140954b/
НАТРИЯ ХЛОРИД;Мосфарм,ООО ;62;/product/natriya-xlorid-09-500ml-kontejner-polimer-r-r-dinf-5e326ddef5a9ae000140af36/
ТАРДИФЕРОН;Пьер Фабр Медикамент Продакшн ;385;/product/tardiferon-008-n30-tabl-prolong-vysvob-pplenoboloch-5e32777bca7bdc000193423f/
ФОЛИЕВАЯ КИСЛОТА;Обновление ПФК  АО ;44;/product/folievaya-kislota-0001-n60-tabl-5f5f26a8ff2407000140774e/
НАТРИЯ ХЛОРИД БУФУС;Обновление ПФК  АО ;100;/product/natriya-xlorid-bufus-09-5ml-n10-amp-r-l-renewal-5e32787165b5ab0001659074/
НАТРИЯ ХЛОРИД;Гематек, ООО ;302;/product/natriya-xlorid-09-500ml-n10-flak-r-r-dinf-5e32762bca7bdc0001933687/
ВЕНОФЕР;АйДиТи Биологика ГмбХ/ Вифор (Интернэшнл) Инк. ;4 135;/product/venofer-002ml-5ml-n5flak-r-r-vv-5e3278a965b5ab00016591f7/
ГЛАТИОН;Шаньдун Луи Фармасьютикал Ко Лтд ;3 409;/product/glation-06-n5-flak-liofiliz-por-dr-ra-vv-vm-5e326604ca7bdc000192b874/
ЛОНГИДАЗА;Петровакс Фарм НПО ООО ;1 941;/product/longidaza-3000me-n10-supp-5e326ae6f5a9ae0001409868/
ПИОБАКТЕРИОФАГ КОМПЛЕКСНЫЙ;МИКРОГЕН НПО АО ;988;/product/piobakteriofag-kompleksnyj-100ml-5e3265bdca7bdc000192b66a/
НАТРИЯ ТИОСУЛЬФАТ;Новосибхимфарм (АО) ;93;/product/natriya-tiosulfat-03ml-10ml-n10-amp-r-r-vv-5ec3cd67dfd5af0001725cc1/
ЛОНГИДАЗА;Петровакс Фарм НПО, ООО ;2 263;/product/longidaza-3000me-n5-flak-liofil-dr-ra-5e3264f1ca7bdc000192b2cf/
ДЕРИНАТ;ФЗ Иммуннолекс, ООО ;196;/product/derinat-025-10ml-flak-r-r-5e3274e965b5ab0001657115/
МИДЗО;СПЕШИАЛ ПРОДАКТС ЛАЙН С.П.А. ;1 961;/product/midzo-006ml-15ml-n4-flak-kap-kapli-dpriema-vnutr-5e327a4fca7bdc0001935ac5/
ВОДА ДЛЯ ИНЪЕКЦИЙ;ВЕЛФАРМ ООО ;42;/product/voda-dlya-inekczij-5ml-n10-amp-rast-l-dinvelfarm-611d11987a3a4a8a61a1343e/
МЕТАДОКСИЛ;ЛАБОРАТОРИЯ БАЛДАЧИ С.П.А. ;2 100;/product/metadoksil-05-n30-tabl-5e3266d9f5a9ae0001407756/
ДИМЕФОСФОН;Татхимфармпрепараты АО ;244;/product/dimefosfon-15-100ml-r-r-priem-vnutnaruzh-5e3267cb65b5ab0001650e6d/
СЕКСТАФАГ;МИКРОГЕН НПО АО ;842;/product/piobakteriofag-polivalentnyj--sekstafag-20ml-n4-flak-5e3267a865b5ab0001650d5e/
ТЕТУРАМ;Фармстандарт-Лексредства ОАО ;250;/product/teturam-015-n30-tablfarmstand-5e326832ca7bdc000192cc64/
УНИТИОЛ;Новосибхимфарм (АО) ;426;/product/unitiol-005ml-n10-amp-r-r-vm-pkkorobka-novosibximfarm-60d1dc49c428975f685df2df/
НАТРИЯ ХЛОРИД;Гротекс ООО ;136;/product/natriya-xlorid-politvist-09-5ml-10-amp-plastik-r-r-din-groteks-5e326c0f65b5ab000165316f/
УНИТИОЛ-ФЕРЕЙН;Брынцалов-А, ПАО ;292;/product/unitiol-ferejn-5-5ml-n10-amp-r-r-vm-pkozh-5e3278ab65b5ab0001659203/
ОМНИСКАН;ДжиИ Хелскеа Ирландия Лимитед ;11 911;/product/omniskan-05-mmolml-10ml-n10-flak-5e3274aa65b5ab0001656eed/
БАКТЕРИОФАГ СТАФИЛОКОККОВЫЙ;МИКРОГЕН НПО АО ;777;/product/bakteriofag-stafilokokkovyj-20ml-n4-flak-5e3265d2ca7bdc000192b6eb/
ТЕТУРАМ;Татхимфармпрепараты АО ;247;/product/teturam-015-n50-tabl-tatximfarm-5e32646965b5ab000164f560/
ПИОБАКТЕРИОФАГ ПОЛИВАЛЕНТНЫЙ;МИКРОГЕН НПО АО ;677;/product/piobakteriofag-polivalentnyj-20ml-n4-flak-5e3267a865b5ab0001650d5f/
КАЛЕНДУЛА;Борисовский завод медицинских препаратов, ОАО ;28;/product/kalendula-250-maz-5e32660665b5ab000164fdcd/
ВОДА ДЛЯ ИНЪЕКЦИЙ;Московский эндокринный завод  ФГУП ;62;/product/voda-dlya-inekczij-2ml-n8-amp-rast-l-din-606ef8c87e0a4465ebcf44eb/
КАЛЕНДУЛЫ НАСТОЙКА;ТВЕРСКАЯ ФАРМ. ФАБРИКА,ОАО ;28;/product/kalenduly-nastojka-25ml-induptverskaya-ff-5ed0cefd77ceb40001c43124/
БАКТЕРИОФАГ СИНЕГНОЙНЫЙ;МИКРОГЕН НПО АО ;894;/product/bakteriofag-sinegnojnyj-100ml-5e327027f5a9ae000140c155/
ТРАЗОГРАФ;Юник Фармасьютикал Лабораториз(Отделение фирмы Дж. ;523;/product/trazograf-76-20ml-n5-amp-r-r-din-5e32672965b5ab000165094f/
ИНТЕСТИ-БАКТЕРИОФАГ;МИКРОГЕН НПО АО ;835;/product/intesti-bakteriofag-20ml-n4-flak-5e3265bd65b5ab000164fbba/
ГЛАТИОН;Шаньдун Луи Фармасьютикал Ко Лтд ;3 409;/product/glation-06-n5-flak-liofiliz-por-dr-ra-vv-vm-5e326604ca7bdc000192b874/
ЛОНГИДАЗА;Петровакс Фарм НПО ООО ;1 941;/product/longidaza-3000me-n10-supp-5e326ae6f5a9ae0001409868/
ПИОБАКТЕРИОФАГ КОМПЛЕКСНЫЙ;МИКРОГЕН НПО АО ;988;/product/piobakteriofag-kompleksnyj-100ml-5e3265bdca7bdc000192b66a/
НАТРИЯ ТИОСУЛЬФАТ;Новосибхимфарм (АО) ;93;/product/natriya-tiosulfat-03ml-10ml-n10-amp-r-r-vv-5ec3cd67dfd5af0001725cc1/
ЛОНГИДАЗА;Петровакс Фарм НПО, ООО ;2 263;/product/longidaza-3000me-n5-flak-liofil-dr-ra-5e3264f1ca7bdc000192b2cf/
ДЕРИНАТ;ФЗ Иммуннолекс, ООО ;196;/product/derinat-025-10ml-flak-r-r-5e3274e965b5ab0001657115/
МИДЗО;СПЕШИАЛ ПРОДАКТС ЛАЙН С.П.А. ;1 961;/product/midzo-006ml-15ml-n4-flak-kap-kapli-dpriema-vnutr-5e327a4fca7bdc0001935ac5/
ВОДА ДЛЯ ИНЪЕКЦИЙ;ВЕЛФАРМ ООО ;42;/product/voda-dlya-inekczij-5ml-n10-amp-rast-l-dinvelfarm-611d11987a3a4a8a61a1343e/
МЕТАДОКСИЛ;ЛАБОРАТОРИЯ БАЛДАЧИ С.П.А. ;2 100;/product/metadoksil-05-n30-tabl-5e3266d9f5a9ae0001407756/
ДИМЕФОСФОН;Татхимфармпрепараты АО ;244;/product/dimefosfon-15-100ml-r-r-priem-vnutnaruzh-5e3267cb65b5ab0001650e6d/
СЕКСТАФАГ;МИКРОГЕН НПО АО ;842;/product/piobakteriofag-polivalentnyj--sekstafag-20ml-n4-flak-5e3267a865b5ab0001650d5e/
ТЕТУРАМ;Фармстандарт-Лексредства ОАО ;250;/product/teturam-015-n30-tablfarmstand-5e326832ca7bdc000192cc64/
УНИТИОЛ;Новосибхимфарм (АО) ;426;/product/unitiol-005ml-n10-amp-r-r-vm-pkkorobka-novosibximfarm-60d1dc49c428975f685df2df/
НАТРИЯ ХЛОРИД;Гротекс ООО ;136;/product/natriya-xlorid-politvist-09-5ml-10-amp-plastik-r-r-din-groteks-5e326c0f65b5ab000165316f/
УНИТИОЛ-ФЕРЕЙН;Брынцалов-А, ПАО ;292;/product/unitiol-ferejn-5-5ml-n10-amp-r-r-vm-pkozh-5e3278ab65b5ab0001659203/
ОМНИСКАН;ДжиИ Хелскеа Ирландия Лимитед ;11 911;/product/omniskan-05-mmolml-10ml-n10-flak-5e3274aa65b5ab0001656eed/
БАКТЕРИОФАГ СТАФИЛОКОККОВЫЙ;МИКРОГЕН НПО АО ;777;/product/bakteriofag-stafilokokkovyj-20ml-n4-flak-5e3265d2ca7bdc000192b6eb/
ТЕТУРАМ;Татхимфармпрепараты АО ;247;/product/teturam-015-n50-tabl-tatximfarm-5e32646965b5ab000164f560/
ПИОБАКТЕРИОФАГ ПОЛИВАЛЕНТНЫЙ;МИКРОГЕН НПО АО ;677;/product/piobakteriofag-polivalentnyj-20ml-n4-flak-5e3267a865b5ab0001650d5f/
КАЛЕНДУЛА;Борисовский завод медицинских препаратов, ОАО ;28;/product/kalendula-250-maz-5e32660665b5ab000164fdcd/
ВОДА ДЛЯ ИНЪЕКЦИЙ;Московский эндокринный завод  ФГУП ;62;/product/voda-dlya-inekczij-2ml-n8-amp-rast-l-din-606ef8c87e0a4465ebcf44eb/
КАЛЕНДУЛЫ НАСТОЙКА;ТВЕРСКАЯ ФАРМ. ФАБРИКА,ОАО ;28;/product/kalenduly-nastojka-25ml-induptverskaya-ff-5ed0cefd77ceb40001c43124/
БАКТЕРИОФАГ СИНЕГНОЙНЫЙ;МИКРОГЕН НПО АО ;894;/product/bakteriofag-sinegnojnyj-100ml-5e327027f5a9ae000140c155/
ТРАЗОГРАФ;Юник Фармасьютикал Лабораториз(Отделение фирмы Дж. ;523;/product/trazograf-76-20ml-n5-amp-r-r-din-5e32672965b5ab000165094f/
ИНТЕСТИ-БАКТЕРИОФАГ;МИКРОГЕН НПО АО ;835;/product/intesti-bakteriofag-20ml-n4-flak-5e3265bd65b5ab000164fbba/
КСИМЕДОН;Татхимфармпрепараты АО ;805;/product/ksimedon-025-n50-tabl-619b40e73456a08d17cb37bc/
ОМНИПАК;ДжиИ Хелскеа Ирландия Лимитед ;6 878;/product/omnipak-300mg-jodaml-50ml-n10-flak-r-r-din-5e32748f65b5ab0001656dbc/
БАКТЕРИОФАГ КОЛИПРОТЕЙНЫЙ;МИКРОГЕН НПО АО ;726;/product/bakteriofag-koliprotejnyj-100ml-5e3267cc65b5ab0001650e74/
ВОДА ДЛЯ ИНЪЕКЦИЙ БУФУС;Обновление ПФК  АО ;92;/product/voda-dlya-inekczij-bufus-2ml-n10-amp-r-l-renewal-5e32786865b5ab000165903a/
БАКТЕРИОФАГ САЛЬМОНЕЛ А,В,С,Д,Е;МИКРОГЕН НПО АО ;786;/product/bakteriofag-salmonel-avsde-100ml-5e3267a7f5a9ae0001407eb2/
БАКТЕРИОФАГ СТРЕПТОКОККОВЫЙ;МИКРОГЕН НПО АО ;786;/product/bakteriofag-streptokokkovyj-20ml-n4-flak-5e3265d2ca7bdc000192b6ea/
ВОДА ДЛЯ ИНЪЕКЦИЙ;Гротекс ООО ;76;/product/voda-dlya-inekczij-politvist-10ml-n10-amp-plastik-r-l-groteks-5e326c3bf5a9ae000140a3fc/
ВОДА ДЛЯ ИНЪЕКЦИЙ;Новосибхимфарм (АО) ;96;/product/voda-dlya-inekczij-10ml-n10-amp-r-l-dprigot-lek-form-dinkorobkanovosibximfarm-609d0be8644e649f27c414a8/
КСИМЕДОН;Татхимфармпрепараты ОАО ;745;/product/ksimedon-025-n50-tabl-5e3275eef5a9ae000140eaaf/
ВОДА ДЛЯ ИНЪЕКЦИЙ;Гротекс, ООО ;112;/product/voda-dlya-inekczij-politvist-5ml-n10-amp-plastik-r-l-groteks-5e326b5bca7bdc000192e537/
ДИМЕФОСФОН;ФГБУ РКНПК   Минздрава России - ЭПМБП ;182;/product/dimefosfon-10-n5-amp-koncz-dr-ra-vv-5e32700cf5a9ae000140c0b9/
МЕДОМЕКСИ;Биохимик АО ;282;/product/medomeksi-005ml-5ml-n5-amp-r-r-vv-vm-5ebe3ba24662be0001ae60c0/
БАКТЕРИОФАГ ДИЗЕНТЕРИЙ ПОЛИВАЛЕНТНЫЙ;МИКРОГЕН НПО АО ;579;/product/bakteriofag-dizenterij-polivalentnyj-20ml-n4-flak-5e326a21ca7bdc000192db06/
НАЛОКСОН;Московский эндокринный завод  ФГУП ;174;/product/nalokson-00004ml-1ml-n10-amp-r-r-din-5e3279c265b5ab0001659bd8/
РЕНАГЕЛЬ;Джензайм Ирландия Лимитед. ;7 006;/product/renagel-08-n180-tabl-pplenoboloch-5e3277a8f5a9ae000140fa74/
КЛАРИСКАН;ДжиИ Хэлскеа А.С. ;9 685;/product/klariskan-05mmolml-10ml-n10-flak-r-r-vv-5fc60fd16cfbed0001c0c902/
ПРОТАМИНА СУЛЬФАТ;Новосибхимфарм (АО) ;2 555;/product/protamina-sulfat-001ml-5ml-n10-amp-r-r-vvnovosibximfarm-610282b60c2bae05ca28ccd2/
ОРАЛЕЙР;Сенекси/Сталлержен ;4 059;/product/oralejr-300ir-n30-tabl-pyazych-5e3269e1f5a9ae0001408ffc/
КЕТОСТЕРИЛ;Лабесфал Лабораториос Алмиро, С.А. ;2 883;/product/ketosteril-n100-tabl-pplenoboloch-5e327759ca7bdc0001934124/
БАКТЕРИОФАГ КЛЕБСИЕЛЛ ПОЛИВАЛЕНТНЫЙ ОЧИЩЕННЫЙ;МИКРОГЕН НПО АО ;NoData;/product/bakteriofag-klebsiell-polivalent-zhidk-20ml-n4-5e3267b365b5ab0001650dbb/
МЕТИЛЕНОВЫЙ СИНИЙ;Самарамедпром, ОАО ;NoData;/product/metilenovyj-sinij-1-25ml-r-r-dmest-i-naruzh-prim-vodnyjflak-polimernyj-s-pomazkom-5f7458ad16fc4e00018fe009/
ЭСПЕРАЛЬ;Софаримекс-Индустрия Кимика э Фармасуэтика С.А. ;NoData;/product/esperal-05-n20-tabl-5e327733f5a9ae000140f669/
ВОДА ДЛЯ ИНЪЕКЦИЙ;Фармасинтез АО ;NoData;/product/voda-dlya-inekczij-2ml-n10-amp-r-l-dprigot-lek-form-din-farmasintez-5e3273ea65b5ab000165680e/
АНЕКСАТ;Сенекси ;NoData;/product/aneksat-05mg5ml-5ml-n5-amp-r-r-vv-5ee769e8f2bd7d0001f9e7c3/
БАКТЕРИОФАГ ПСЕВДОМОНАС АЕРУГИНОЗА (СИНЕГНОЙНЫЙ);МИКРОГЕН НПО АО ;NoData;/product/bakteriofag-psevdomonas-aeruginoza-sinegnojnyj-20ml-n4-flak-5e32699dca7bdc000192d76a/
СЕЛАМЕРЕКС;"Польфарма Фармацевтический завод С.А./ФармФирма ""Сотекс"", ЗАО ";NoData;/product/selamereks-08-n180-tablpplenoboloch-5e326ce865b5ab0001653625/
НАБОР Витамин Д АКВАДЕТРИМ 15000МЕ/МЛ 10МЛ закажи 4 упаковки по цене 3 упаковок;NoData;549;/product/612e45f3ee6d4f17449752ae/
РЕДУКСИН;Биохимик АО ;2 187;/product/reduksin-00101585-n30-kaps-5e32721065b5ab0001655d04/
ОМЕПРАЗОЛ;ПРОИЗВОДСТВО МЕДИКАМЕНТОВ, ООО ;31;/product/omeprazol-002-n30-kaps-5e3266e4ca7bdc000192c123/
Комплексный набор Витамины для кормящих мам  - со скидкой 20%;КОМПЛИВИТ ;1 408;/product/617b9239620db280fbfb9a5b/
Набор по специальной цене: при заказе Магнелис №90 - скидка 15% на Компливит Непоседливые детишки;NoData;917;/product/617baf50b1263ff899dc3e5d/
НАБОР МУЛЬТИ-ТАБС ИММУНО ПЛЮС N30 ТАБЛ + БИФИФОРМ N30 КАПС КИШЕЧНОРАСТВОР закажи со скидкой 15%;NoData;1 028;/product/6061a528783c88792450a380/
Комплексный набор Аптечка на случай отравления - со скидкой 20%;NoData;785;/product/617b8cd20962577375912333/
АКВАДЕТРИМ;ПОЛЬФАРМА Фармацевтический завод, АО Отдел Медана в Серадзе ;183;/product/akvadetrim-15000meml-10ml-flak-kapli-dvn-60f1200cc1503c6903f0694f/
НАБОР БИФИФОРМ N30 КАПС КИШЕЧНОРАСТВОР закажи со скидкой 20% на вторую упаковку;БИФИФОРМ ;1 011;/product/617c3d9d9f6818a317e07c0b/
Набор из 2 уп. Магнелис В6 №90 - со скидкой 20% на 2-ю упаковку;Фармстандарт-Уфимский витаминный завод,ОАО ;1 022;/product/61554d3a2676f301a63b1c2d/
Комплексный набор Для комфортного пищеварения  - со скидкой 20%;NoData;1 351;/product/617b8e50d32c4284943a52a8/
Комплексный набор Пребиотики для всей семьи - со скидкой 20%;NoData;1 061;/product/617b8ed07f1a4d18e27411e3/
Набор Компливит с пониж. содержанием сахара + Компливит Диабет - со скидкой 25%;КОМПЛИВИТ ;368;/product/617b7b3c7f1a4d18e273eda8/
Комплексный набор Лечение ОРВИ у детей от 5 лет  - со скидкой 20%;NoData;1 114;/product/617b8fcf7b4b7dd816b5f063/
Комплексный набор Лечим простуду - со скидкой 20%;Фармстандарт-Лексредства ОАО ;1 283;/product/617b90934f36d4e1229611ca/
УНДЕВИТ;Алтайвитамины АО ;38;/product/undevit-n50-drazhe-altajvitaminy-601cf1a30d5906258f2f3d0f/
ДИАБЕТОН МВ;СЕРВЬЕ РУС ООО ;223;/product/diabeton-mv-006-n30-tabl-modif-vysvob-5e3267c965b5ab0001650e60/
Комплексный набор Лечение ОРВИ у детей с 7 лет + витаминная поддержка - со скидкой 20%;NoData;1 437;/product/617b8fbe5d4489e07f380151/
САКСЕНДА;Ново Нордиск А/С ;15 556;/product/saksenda-0006ml-3ml-n3-kartridzh-v-shpricz-ruchke-r-r-pk-60e30c0e3d3dfb3f048e315a/
НАБОР ДЮСПАТАЛИН 0,135 N50 ТАБЛ П/О + КРЕОН 10000 10000ЕД N50 КАПС КИШЕЧНОРАСТВОР закажи со скидкой 12%;КРЕОН ;1 042;/product/61815e0f245abd4d789cfe52/
Набор из 2-х упаковок Аципол капс.  по специальной цене;ЛЕККО  ЗАО ;678;/product/612dedf4ca44b7119951be7a/
Комплексный набор Лечение простуды, гриппа и ОРВИ у взрослых  - со скидкой 20%;NoData;1 676;/product/617b88375241ebecac56d37d/
МАГНЕЛИС В6;Фармстандарт-Уфимский витаминный завод,ОАО ;381;/product/magnelis-v6-00480005-n50-tabl-pplenobolochblister-5e3272d9f5a9ae000140d47b/
АСКОРБИНОВАЯ КИСЛОТА;Алтайвитамины АО ;27;/product/askorbinovaya-kislota-005-n200-drazhe-altajvitaminy-5f3101702fc03e00014bdb70/
ФОРСИГА;АстраЗенека Индастриз ООО ;2 371;/product/forsiga--001-n30-tabl-po-60225e225951531e57b78e31/
НАБОР Витамин Д АКВАДЕТРИМ 15000МЕ/МЛ 10МЛ закажи 4 упаковки по цене 3 упаковок;NoData;549;/product/612e45f3ee6d4f17449752ae/
РЕДУКСИН;Биохимик АО ;2 187;/product/reduksin-00101585-n30-kaps-5e32721065b5ab0001655d04/
ОМЕПРАЗОЛ;ПРОИЗВОДСТВО МЕДИКАМЕНТОВ, ООО ;31;/product/omeprazol-002-n30-kaps-5e3266e4ca7bdc000192c123/
Комплексный набор Витамины для кормящих мам  - со скидкой 20%;КОМПЛИВИТ ;1 408;/product/617b9239620db280fbfb9a5b/
Набор по специальной цене: при заказе Магнелис №90 - скидка 15% на Компливит Непоседливые детишки;NoData;917;/product/617baf50b1263ff899dc3e5d/
НАБОР МУЛЬТИ-ТАБС ИММУНО ПЛЮС N30 ТАБЛ + БИФИФОРМ N30 КАПС КИШЕЧНОРАСТВОР закажи со скидкой 15%;NoData;1 028;/product/6061a528783c88792450a380/
Комплексный набор Аптечка на случай отравления - со скидкой 20%;NoData;785;/product/617b8cd20962577375912333/
АКВАДЕТРИМ;ПОЛЬФАРМА Фармацевтический завод, АО Отдел Медана в Серадзе ;183;/product/akvadetrim-15000meml-10ml-flak-kapli-dvn-60f1200cc1503c6903f0694f/
НАБОР БИФИФОРМ N30 КАПС КИШЕЧНОРАСТВОР закажи со скидкой 20% на вторую упаковку;БИФИФОРМ ;1 011;/product/617c3d9d9f6818a317e07c0b/
Набор из 2 уп. Магнелис В6 №90 - со скидкой 20% на 2-ю упаковку;Фармстандарт-Уфимский витаминный завод,ОАО ;1 022;/product/61554d3a2676f301a63b1c2d/
Комплексный набор Для комфортного пищеварения  - со скидкой 20%;NoData;1 351;/product/617b8e50d32c4284943a52a8/
